[2023-05-13 18:00:01][[game_database-10]][SqlQuery] {"query":"update t_ServerCore set last_hour_ts=1683972000 where server_name='s55'","use_time":0,"size":71}
[2023-05-13 18:09:23][[game_database-10]][SqlQuery] {"query":"update t_DynastyRank set dynasty_list='{ ... k_name='traitor_boss_honour_dynasty_rank'","use_time":0,"size":93}
[2023-05-13 18:09:23][[game_database-10]][SqlQuery] {"query":"update t_DynastyRank set dynasty_list='{ ... re rank_name='rush_activity_dynasty_rank'","use_time":0,"size":87}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... \"rank\\\":6}}' where rank_name='train_rank'","use_time":0,"size":997}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_soldier_rank'","use_time":0,"size":89}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... here rank_name='rush_activity_score_rank'","use_time":0,"size":92}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_diamond_rank'","use_time":0,"size":89}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... '{}' where rank_name='traitor_feats_rank'","use_time":0,"size":86}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... :10}}' where rank_name='fight_score_rank'","use_time":0,"size":4707}
[2023-05-13 18:49:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... where rank_name='rush_activity_hunt_rank'","use_time":0,"size":361}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_Player where urs='9999'","use_time":0,"size":39}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_Role where uuid='55000013'","use_time":0.0099999904632568,"size":42}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_LoverActivities where status='activate'","use_time":0,"size":55}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_RolePurchasedLoverActivities where uuid='55000013'","use_time":0,"size":66}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_LoverActivitiesDealInfo where uuid='55000013'","use_time":0,"size":61}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"update t_LoverActivities set end_ts=1683975793 where id=3","use_time":0,"size":57}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"update t_LoverActivities set end_ts=1683976015 where id=4","use_time":0,"size":57}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_HeroActivities where status='activate'","use_time":0,"size":54}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_HeroActivitiesDealInfo where uuid='55000013'","use_time":0,"size":60}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_RolePurchasedHeroActivities where uuid='55000013'","use_time":0,"size":65}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"update t_HeroActivities set end_ts=1683975736 where id=1","use_time":0,"size":56}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"update t_HeroActivities set end_ts=1683975484 where id=2","use_time":0,"size":56}
[2023-05-13 18:57:35][[game_database-10]][SqlQuery] {"query":"select * from t_OfflineCmd where uuid='55000013'","use_time":0.0099999904632568,"size":48}
[2023-05-13 18:57:46][[game_database-10]][SqlQuery] {"query":"insert into t_DailyGiftPackage (reward_i ... le,reward_date) values (1,1,'2023-05-13')","use_time":0,"size":92}
[2023-05-13 18:57:46][[game_database-10]][SqlQuery] {"query":"select * from t_DailyGiftPackage where r ... 05-13'&&reset_cycle=1&&user_id='55000013'","use_time":0.0099999904632568,"size":98}
[2023-05-13 18:57:46][[game_database-10]][SqlError] {"result":{"errno":1064,"badresult":true,"sqlstate":"42000","err":"You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'reward_date <=2023-05-15' at line 1"},"query":"select * from t_dailygiftpackage where user_id = 55000013 and reset_cycle = 7 and reward_date >=2023-05-08and reward_date <=2023-05-15"}
[2023-05-13 18:58:05][[game_database-10]][SqlQuery] {"query":"delete from t_HeroActivitiesDealInfo where uuid='55000013'","use_time":0,"size":58}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_DynastyRank set dynasty_list='{ ... k_name='traitor_boss_honour_dynasty_rank'","use_time":0,"size":93}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_DynastyRank set dynasty_list='{ ... re rank_name='rush_activity_dynasty_rank'","use_time":0,"size":87}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ere rank_name='activity_fight_score_rank'","use_time":0,"size":93}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... rank\\\":10}}' where rank_name='score_rank'","use_time":0,"size":4488}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... re rank_name='rush_activity_soldier_rank'","use_time":0,"size":94}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... {}' where rank_name='activity_score_rank'","use_time":0,"size":87}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ...  where rank_name='traitor_boss_hurt_rank'","use_time":0,"size":90}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... rank_name='rush_activity_checkpoint_rank'","use_time":0,"size":97}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... rank_name='rush_activity_ringleader_rank'","use_time":0,"size":97}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... \\\"rank\\\":6}}' where rank_name='hunt_rank'","use_time":0,"size":1082}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... here rank_name='rush_activity_party_rank'","use_time":0,"size":245}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... e rank_name='rush_activity_intimacy_rank'","use_time":0,"size":95}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='traitor_max_hurt_rank'","use_time":0,"size":646}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... {}' where rank_name='activity_money_rank'","use_time":0,"size":87}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... \":10}}' where rank_name='stage_star_rank'","use_time":0.0099999904632568,"size":2560}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... }}' where rank_name='activity_login_rank'","use_time":0,"size":448}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_banquet_rank'","use_time":0,"size":89}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... rank\\\":10}}' where rank_name='level_rank'","use_time":0,"size":3050}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_stamina_rank'","use_time":0,"size":89}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... here rank_name='traitor_boss_honour_rank'","use_time":0,"size":92}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... where rank_name='rush_activity_food_rank'","use_time":0,"size":91}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... e rank_name='rush_activity_recharge_rank'","use_time":0,"size":95}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ...  where rank_name='activity_intimacy_rank'","use_time":0,"size":90}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ='{}' where rank_name='traitor_hurt_rank'","use_time":0,"size":85}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... here rank_name='rush_activity_money_rank'","use_time":0,"size":92}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... \"rank\\\":6}}' where rank_name='train_rank'","use_time":0,"size":997}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_soldier_rank'","use_time":0.0099999904632568,"size":89}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... here rank_name='rush_activity_score_rank'","use_time":0,"size":92}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... ' where rank_name='activity_diamond_rank'","use_time":0,"size":89}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... '{}' where rank_name='traitor_feats_rank'","use_time":0,"size":86}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... :10}}' where rank_name='fight_score_rank'","use_time":0,"size":4707}
[2023-05-13 18:59:23][[game_database-10]][SqlQuery] {"query":"update t_Rank set forbid_dict='{}',role_ ... where rank_name='rush_activity_hunt_rank'","use_time":0,"size":361}
